Categories,Area,Location,Address,Opening hours
Shopping + Booth,Siam Square,Seek A Keep Club,,
Shopping + Booth,Siam Square,Hello Everyday,,
Shopping + Booth,Siam Square,LoftEyes,"Siam Square soi 2, Mitr Flagship Store (3F)",11:00 - 20:00
Shopping + Booth,Siam Square,Tres & Hello Flashback Booth,,
Shopping + Booth,One Bangkok,Studio Unknown,,
Shopping + Booth,One Bangkok,One Content Store,,
Shopping + Booth,One Bangkok,Matter Makers,,
Shopping + Booth,Siam Paragon,Muva,,
Shopping + Booth,Siam Paragon,Panpuri,,
Shopping + Booth,Siam Paragon,SliptoSleep,,
Shopping + Booth,BTS National Stadium,My Only Fragrance,"107 จุฬาฯ 5 Wang Mai, Pathum Wan",12:00 - 20:00
Shopping + Booth,BTS Chong Nonsi,Gongdid Design,"115, 117 Soi Suksavithaya, Si Lom, Bang Rak",11:00 - 20:00
Shopping + Booth,BTS Ari,HIDE Selected,"42 Soi Ari 5, Phaya Thai",12:00 - 19:00
Attraction,Khu phố cổ Song Wat - China Town,,,
Attraction,Moca Museum / BACC / River City,,,
Attraction,Gump Ari,,,
Attraction,BTS Chong Nonsi,,,
Attraction,BKK Empire Tower,Arabica Cafe,55F,7:00 - 21:00
Attraction,Siam Scape,,,
Attraction,BTS Asok,Benjakitti Park (exit 4),,
Attraction,Soi Ari,Bougainvaille wall,,
Attraction,Galile Oasis,,,
Attraction,333Galery,,,
Attraction,Queen Sirikit / Benjakitti / Lumpini Park,,,
Attraction,Before Sunset cfe / Hau Yong Seng,,,nếu đi Wat Arun
Attraction,Space & Time Cubes,,Seacon Bangkae,10:30 - 21:30 (10:00 Sat & Sun)
Dessert / Cafe / Brunch,Banthat Thong Rd (Chula Uni),Ice Cream Samosorn BKK,"368 ซอย จุฬาฯ 1 Wang Mai, Pathum Wan",16:00 - 0:00 (1:00 Fri to Sun)
Dessert / Cafe / Brunch,Banthat Thong Rd (Chula Uni),Jae Wan Dessert,"1700 Khwaeng Rong Muang, Khet Phathum Wan",13:45 - 23:30 (- Sun)
Dessert / Cafe / Brunch,Banthat Thong Rd (Chula Uni),Pungdet,"1604 Banthat Thong Road, Rong Mueang, Pathumwan",16:30 - 22:30
Dessert / Cafe / Brunch,Banthat Thong Rd (Chula Uni),Nueng Nom Nua,1471 ถนน บรรทัดทอง Pathum Wan,16:00 - 1:00
Dessert / Cafe / Brunch,Banthat Thong Rd (Chula Uni),Bingbun (bingsu),"1638 ถนน บรรทัดทอง Wang Mai, Pathum Wan",16:00 - 0:00
Dessert / Cafe / Brunch,Banthat Thong Rd (Chula Uni),Creamery Boutique Ice Creams,,
Dessert / Cafe / Brunch,Banthat Thong Rd (Chula Uni),Yolk,"1424 ถนน บรรทัดทอง Rong Muang, Pathum Wan",15:00 - 23:00
Dessert / Cafe / Brunch,Central World / ICON Siam,Blendies Thailand,,10:00 - 22:00
Dessert / Cafe / Brunch,Central World / ICON Siam,Mil Toast House,,
Dessert / Cafe / Brunch,Central World / ICON Siam,Naixue,,
Dessert / Cafe / Brunch,BTS Thong Lor,Patom,"9 2 Soi Phrom Phak, Khlong Tan Nuea, Watthana",9:00 - 18:00
Dessert / Cafe / Brunch,BTS Thong Lor,Benkoff Cafe,"195 NT TOWER Thong Lo, Khlong Tan Nuea, Watthana",7:30 - 16:00
Dessert / Cafe / Brunch,BTS Thong Lor,TheCommons,"335 Akkhara Phatsadu Alley, Khwaeng Khlong Tan Nuea, Watthana",8:00 - 1:00
Dessert / Cafe / Brunch,BTS Thong Lor,Homeland BKK,"1st floor, Citi Resort Sukhumvit 39, NEW WING 99/9, Khlong Tan Nuea, Watthana",8:00 - 18:00 (17:00 Thurs)
Dessert / Cafe / Brunch,BTS Thong Lor,PAR RIS Cafe,"16, 3 Soi Ekamai 21, Khlong Tan Nuea, Watthana",8:30 - 17:30 (- Tue)
Dessert / Cafe / Brunch,BTS Ploen Chit,Ecole Ducasse,"4 ซอย สมคิด Lumphini, Pathum Wan",7:00 - 18:00
Dessert / Cafe / Brunch,BTS Ari,Nana Coffee,"24, 2 Ari 4 Alley, Samsen Nai, Phaya Thai",8:00 - 18:00
Dessert / Cafe / Brunch,BTS Onnut,Glig,"219 ซอย สุขุมวิท 49/13 Khlong Tan Nuea, Watthana",8:00 - 18:00
Dessert / Cafe / Brunch,Emsphere,Pangcha,,
Dessert / Cafe / Brunch,Emsphere,Karun,,
Dessert / Cafe / Brunch,Emsphere,Oh My Godmother,,
Dessert / Cafe / Brunch,Emsphere,Kanon Siam,,
Dessert / Cafe / Brunch,BTS Saint Louis,Le Café des Stagiaires,"142 21 Sathon Soi 12 Alley, Si Lom, Bang Rak",16:00 - 1:00 (Mon-Thurs) & 11:30 - 2:00 (Fri-Sun)
Dessert / Cafe / Brunch,BTS Saint Louis,Pref Cafe & Bar,"House, 1 Soi Sathon 11, Khwaeng Yan Nawa, Sathon",9:00 - 22:00 (00:00 Fri & Sat)
Dessert / Cafe / Brunch,BTS Asok,MTCH,"116, 21 Soi Sukhumvit 23, Khlong Toei Nuea, Watthana",9:00 - 18:00
Dessert / Cafe / Brunch,BTS Bang Chak,Huus Plate,"5 Sukhumvit 60 Alley, Phra Khanong Tai, Phra Khanong",9:00 - 18:00
Dessert / Cafe / Brunch,BTS Silom,Fran's Brunch and Greens,"58 Ngam Duphli Alley, Thung Maha Mek, Sathon",8:00 - 22:00
Dessert / Cafe / Brunch,BTS Saphan Khwai,Sunny Flavor Cafe,"33 Pradiphat 17 Alley, Phaya Thai",10:30 - 17:00 (- Mon)
Dessert / Cafe / Brunch,BTS Ari,Clay BKK,"31 Soi Phahon Yothin 2, Samsen Nai, Phaya Thai",11:00 - 22:00 (- Tue)
Dessert / Cafe / Brunch,Siam Square,Aino Crepe,Centerpoint Siam Square,10:00 - 21:00
Dessert / Cafe / Brunch,Rama IX,Reply Very Soon Cafe,"25 Suphakit Alley, Khwaeng Suan Luang, Suan Luang",10:00 - 17:00 (- Mon & Tue) & 14:00 - 17:00 (Wed)
Dessert / Cafe / Brunch,BTS Ratchathewi,Stockroom,"119 80 Soi Phetchaburi 18, Thanon Phetchaburi, Ratchathewi",8:30 - 17:00 (9:00 - 17:30 Sat & Sun)
Meal,BTS Ari,Lhao Lhao,"1271 7 Phahonyothin Rd, Phaya Thai",15:00 - 3:00
Meal,Banthat Thong Rd,Som Som Seafood,"659 Chulalongkorn 4 Alley, Wang Mai, Pathum Wan",12:30 - 22:00 (- Wed)
Meal,Banthat Thong Rd,Baan Kook Kai,"32 ซอยจุฬา 3 Wang Mai, Pathum Wan",15:00 - 0:00
Meal,Banthat Thong Rd,Tang Yuu,"1467 1469 ถนน บรรทัดทอง Wang Mai, Pathum Wan",17:00 - 23:00 (00:00 Fri & Sat)
Meal,BTS Thong Lor,,"55 Khlong Tan Nuea, Wattana",
Meal,BTS Thong Lor,Mae Varee Fruit Shop,"1 Thong Lo, Khlong Tan Nuea, Watthana",6:00 - 22:00
Meal,BTS Thong Lor,Nhong Rim Klong,"51 Ekkamai 23 Alley, Khlong Tan Nuea, Watthana",8:30 - 16:00 (- Sun)
Meal,ICON Siam,Toro Fries,,
Meal,ICON Siam,Yuzu Ramen,,
Meal,ICON Siam,Thip Samai,,
Meal,BTS Ekkamai,Here Hai,"112, 1 Ekkamai Rd, Khwaeng Khlong Tan Nuea, Watthana",
Meal,BTS Ekkamai,The Tree Camping Mookatha,"73 Ekkamai 10 Alley, Khlong Tan Nuea, Watthana",
Meal,MBK Center / Victory Hub,Nak La Mookatha,,11:00 - 2:00
Meal,BTS Phra Khanong,Mahasamut Sukhumvit 71,"Sukhumvit 71 Rd, Khlong Tan Nuea, Watthana",10:00 - 21:00
Meal,Central World,Thong Smith,,
Meal,Central World,Bon Chon,,
Meal,Central World,Saemaeul Sikdang,,
Meal,Central World,Tonkatsu Wako,,
Meal,Central World,Somboon Seafood,,
Meal,Siam Discovery,BHC Chicken,,
Meal,BTS National Stadium,Tookpak (Stadium 1),"811, 813 Rama I Rd, Wang Mai, Pathum Wan",10:30 - 22:00
Meal,BTS Saphan Taksin,Zaozen Tomyum,"1483 Chareonkrung Road, Silom, Bangrak, Bangkok",10:30 - 22:30
Meal,BTS Chong Nonsi,Dibdee Silom,"54/3 Soi Phiphat 1, Si Lom, Bang Rak",7:00 - 17:30 (17:00 Sat & Sun)
Meal,BTS Chit Lom,Go Ang Haianese Chicken Rice,"962 Phetchaburi Rd, Makkasan, Ratchathewi",6:00 - 14:00 & 15:00 - 22:00
,Central World,Butterfly Thai Perfume,,
,Central World,Perfumer's Journey,,
